grid_id,latitude,longitude,basin_id,watershed_id,outside_flag
g4dc0f8405d5dedba,28.0,90.5,3.0,18.0,False
gaed7e89acef91b29,28.0,90.75,3.0,19.0,False
g2199a9932206224f,28.0,91.0,7.0,22.0,False
g7c36e5c8b21cd185,28.0,91.25,7.0,41.0,False
g4de30f08889a7546,28.0,91.5,7.0,,False
g12c81df6d06f3c86,28.0,91.75,7.0,,False
gc19c3a38485c24d0,28.0,92.0,7.0,,False
g9b5856658c30c5c7,28.25,88.5,,,True
gd4bade3fe1da69d3,28.25,88.75,,,True
g3a4c2dfc35665223,28.25,89.0,,,True
gad84b206b291e526,28.25,89.25,,,True
gf2cd33a546c30a0c,28.25,89.5,,,True
g261d0ec844c08377,28.25,89.75,,,True
gbb2534f5a4938484,28.25,90.0,,,True
gf983781b109de21c,28.25,90.25,,,True
ge9595938d050cacc,28.25,90.5,7.0,,False
gf8e612abcc674cff,28.25,90.75,7.0,,False
g359582c53a9caff9,28.25,91.0,7.0,,False
gcf74dd5ef28196a3,28.25,91.25,7.0,,False
gea01174e08082520,28.25,91.5,7.0,,False
ge082077a1f32dbe0,28.25,91.75,7.0,,False
g6ede76f1b14bfcb6,28.25,92.0,7.0,,False
gdd68d41615c50bd9,28.5,88.5,,,True
g738ebceb679145bd,28.5,88.75,,,True
g2de1defbb875adad,28.5,89.0,,,True
geab7df9c2ced19b8,28.5,89.25,,,True
gee1efd38e2499f02,28.5,89.5,,,True
g0ad3e2a9f4543a69,28.5,89.75,,,True
gb532f2da210da69a,28.5,90.0,,,True
g0391bcf784b732b2,28.5,90.25,,,True
g59b59dce918bd242,28.5,90.5,,,True
g86c9ea60789ee291,28.5,90.75,,,True
g464a1060d10869e7,28.5,91.0,7.0,,False
gcd73d4ffbf3d512d,28.5,91.25,7.0,,False
g368dd7adf8bffbae,28.5,91.5,,,True
gc307973857c6e4ee,28.5,91.75,,,True
g3f9cf585266c6628,28.5,92.0,,,True
