ws_id,longitude,latitude,area_sqkm,perimeter_km,geometry_count,SHAPE__Len,SHAPE__Are,f_area,area_ha
1,92.03424542353504,27.328438199510856,1.278395450490568e-08,0.0007502475005924789,1,88962.6312988,178321798.333,140331356.07,14033.1356069597
2,89.6939932710917,28.133971475021557,9.82270919726972e-09,0.0006151019375696141,1,72762.7938238,138032179.642,106943310.353,10694.331035308
3,89.61368959837384,28.076917188307092,1.508835434418848e-08,0.0007438240297758567,1,87853.1206946,211914169.639,163444947.545,16436.0007344264
4,89.8057719035912,28.149654478026033,1.907842372418296e-08,0.0008488838448763445,1,100646.75122,268136083.708,207681036.079,20768.1036079112
5,90.15673938051557,28.12858308638628,8.411640839330573e-09,0.0005213797759029342,1,62076.4466688,118197416.61,91583504.741,9158.35047410094
6,90.26142105233497,28.069161170129362,2.424549229388933e-08,0.0009850756711778574,1,116286.16783,340500603.812,262913851.354,26412.4047017219
7,89.93271899544736,28.08013335091306,2.0882432793537883e-08,0.00087690245425324,1,104071.402592,293300195.048,227457009.662,22746.1313828416
8,90.00982207857248,28.10058206622459,9.39908997913945e-09,0.0006851654084523627,1,81772.6095381,132038284.238,102356688.171,10236.0131458843
9,89.97386982321312,27.97385263651412,3.972218592533159e-09,0.000442259956802466,1,51906.4341567,55735939.7459,43303078.362,4330.91042856857
10,90.07872244622973,28.04244538318398,1.769578731333496e-08,0.0008504877944743009,1,101451.481111,248455705.105,191057300.109,19281.7099757137
11,89.74240187557709,28.01264178888939,2.6156371613178925e-08,0.0012014218200997208,1,141278.774249,367143732.751,285087208.735,28508.7208734621
12,89.85209634945508,27.96614351986366,9.956920684004637e-09,0.0006163415630060954,1,72609.527076,139699953.545,108568455.519,10856.8455518842
13,89.5249465406701,28.004506648273438,1.2152150189154216e-08,0.000695363110402314,1,82513.9421241,170560684.188,132465113.534,13246.5113534229
14,89.76582442772123,27.909488005028397,6.529805411491674e-09,0.000500576328343041,1,58727.0472179,91567988.1412,71236938.9066,7123.69389066461
15,89.45205833089933,27.863471308012148,2.7206827102547845e-08,0.0010845090517297888,1,128620.377582,381361664.298,296953921.305,29695.392130479
16,89.59646995863525,27.90439835836319,1.1536917844941516e-08,0.0007078114946075248,1,83756.0170011,161775541.713,125871092.618,12587.1092617533
17,89.68290714300892,27.90425703249589,5.241041202968636e-09,0.0004802157919152873,1,56955.399002,73491995.8758,57180482.6303,5718.04826302911
