ws_id,dem_min,dem_max,dem_mean,dem_std,dem_median,acc_min,acc_max,acc_mean,acc_std,acc_median,slope_mean_deg,slope_p90_deg,pct_slope_gt_15,pct_slope_gt_30,relief_m
1,2690.0,4483.0,3871.240739770524,350.3097795169719,3952.0,1.0,8601.0,77.98292031225441,564.1878228308445,3.0,20.347371574893906,31.563907623291016,71.16885838528842,13.710902708649867,1793.0
2,3433.0,6141.0,4576.2693557119655,479.6468247293493,4593.0,1.0,36739.0,113.26197888467786,1023.3291327823443,4.0,25.84960197279372,39.22905731201172,84.2920952896589,34.745533297238765,2708.0
3,3409.0,6447.0,4636.337641713353,468.4898010726,4651.0,1.0,36822.0,155.0801976267149,1498.6497563049568,4.0,24.806776324496006,38.883634948730474,80.01235166968105,31.302660020292027,3038.0
4,3395.0,6209.0,4970.112385401053,500.6943087350272,5033.0,1.0,36840.0,171.2370760274689,1710.6210519172012,4.0,23.304268919719732,37.963890075683594,73.95684456373968,28.4379684177502,2814.0
5,3885.0,7026.0,4984.13615134964,702.8774406495252,4817.0,1.0,10835.0,121.56091189741154,762.5280894903466,4.0,22.950303767909443,43.10573348999024,65.11517454286393,31.362305074012507,3141.0
6,3891.0,6930.0,5052.530844200412,489.25408948676215,5060.0,1.0,47477.0,187.07714481811945,1888.7580676787688,4.0,19.246231983527796,35.92334823608397,57.20247083047357,19.330130404941663,3039.0
7,3530.0,7055.0,4969.667155565476,487.7650200060242,5013.0,1.0,30256.0,138.2656633612856,1423.5799956564392,4.0,23.80660531518031,39.63396072387695,75.06616076268214,29.416828747249944,3525.0
8,3617.0,6715.0,4940.121152076994,532.9587443528798,4871.0,1.0,13786.0,149.50902271601444,1080.5101558263073,4.0,21.810770646097232,37.85118865966797,70.26395867242233,23.69966739791947,3098.0
9,3265.0,5640.0,4487.65889261745,591.18139080461,4505.0,1.0,49777.0,486.7221476510067,4573.992484834399,3.0,26.262313863255034,39.54521293640137,83.10402684563758,39.61409395973155,2375.0
10,3063.0,6856.0,4580.861156030236,543.1267625583738,4614.0,1.0,74777.0,518.7526606746644,5539.27219637927,4.0,25.53411398593509,40.43210983276367,80.48963935166033,35.84295438306194,3793.0
11,2893.0,6012.0,4444.1938250865405,553.286699675514,4465.0,1.0,116741.0,393.7881286906944,5150.175926774278,3.0,24.115259430360414,37.844425201416016,78.10018326206475,30.76511912034209,3119.0
12,3013.0,5827.0,4668.018371300688,541.8553478377345,4812.0,1.0,116747.0,117.55641659429487,1327.4049361166678,3.0,22.340555898857637,37.17137451171876,70.16500768254392,27.142761707528894,2814.0
13,3460.0,6503.0,4679.131321996709,413.60427500647046,4710.0,1.0,39977.0,139.90614371914427,1279.1986573474474,4.0,24.34910689797038,37.47109603881836,80.36752605595173,29.840921557871642,3043.0
14,2139.0,5095.0,3539.4146640760814,693.369440968228,3532.0,1.0,126062.0,1144.4588403722262,11533.129245619044,4.0,26.09264910778198,39.07428741455078,85.89835361488905,34.53318335208099,2956.0
15,3462.0,6221.0,4585.052579973036,417.4250449492697,4594.0,1.0,39909.0,165.02488050006127,1805.5980030558983,4.0,24.250942211055275,36.132118225097656,82.59345508027944,26.59149405564407,2759.0
16,2712.0,5283.0,4146.704590126026,535.0429362243999,4224.5,1.0,74909.0,634.9798242571395,6344.23262298246,4.0,26.089002341311133,38.59792709350586,85.66308243727599,36.66897907272517,2571.0
17,2149.0,4862.0,3506.0003814852494,652.7579214323894,3537.0,1.0,97612.0,958.2898016276704,9222.516026258554,4.0,25.797451201678534,38.337590026855466,86.58443540183113,31.904883011190233,2713.0
18,3692.0,6458.0,4967.086298407706,381.69032815624274,5016.0,1.0,29620.0,168.9757879562283,1661.189945439971,3.0,20.560931459275277,34.92593116760255,65.71325601205687,21.53528602319638,2766.0
19,3682.0,6072.0,4962.2912203178,349.76609685100186,5002.0,1.0,73453.0,175.15309766113194,2011.8665946779536,3.0,19.065793217728977,33.012229919433594,60.835118728798435,15.720407070166043,2390.0
20,2549.0,5341.0,4010.899761967733,620.0115674944889,4043.0,1.0,138939.0,1173.7636207352552,11823.24755984618,4.0,26.79014934871727,40.95688018798828,83.08648505686327,40.498545358370805,2792.0
21,2822.0,5728.0,4705.239357099594,554.1130615196226,4856.0,1.0,38954.0,183.11715843211903,2038.54154579526,3.0,20.976742991260707,36.52566909790039,65.46249026563987,22.851951198407892,2906.0
22,1592.0,6044.0,4278.641091219097,730.032646808222,4385.0,1.0,41189.0,235.7730927858805,2396.5224945720097,4.0,23.270025460242852,36.50428009033203,76.16183958894956,28.19059468675837,4452.0
23,1557.0,5530.0,3485.0259335853,841.351188790527,3508.0,1.0,855780.0,3379.5070241745702,51314.71753588592,4.0,26.074345123487603,38.821108245849615,85.61411015236872,35.11136466281585,3973.0
24,2598.0,5598.0,4378.847489979004,581.8546855249566,4444.0,1.0,89965.0,159.57180123433224,2115.152223316172,4.0,25.72212413310428,38.97810745239258,83.96004326525419,34.68219125787364,3000.0
25,1485.0,5487.0,4111.542213419163,752.6207799068513,4288.0,1.0,46587.0,226.09243212016176,2455.188190261137,3.0,24.56627052900883,37.4427375793457,81.73434018321367,29.510192291821408,4002.0
26,3196.0,6009.0,5038.45686876439,475.3411550193962,5159.0,1.0,37550.0,224.9713225888974,2301.033306103079,3.0,19.863126758761833,35.2101936340332,61.32003069838834,21.4070094653364,2813.0
27,3217.0,7065.0,4920.369770399625,543.562459646527,4995.0,1.0,80816.0,195.11517950777608,2088.17224697896,3.0,19.689558370707545,34.77640457153321,61.04603163977955,19.75143360778276,3848.0
28,2055.0,5060.0,3568.685379546009,709.8478674935695,3521.0,1.0,194534.0,1480.5766821251325,16262.90949588089,4.0,22.600391038158,36.24671173095703,74.01350581726467,25.327475388495646,3005.0
29,3126.0,5388.0,4401.454384522982,444.2047110690429,4481.0,1.0,88585.0,628.9072516912183,6951.838309128634,3.0,23.71404382942404,36.18050842285156,79.64215717266232,27.325030030979324,2262.0
30,3114.0,5457.0,4509.571578899208,405.9580563977396,4538.0,1.0,109763.0,135.5188269204374,1592.874022391684,4.0,24.20293269890653,37.85118865966797,79.60378826005399,29.047902273871074,2343.0
31,2001.0,5584.0,4226.783294828506,703.502131359268,4388.0,1.0,221892.0,196.2501510574018,3128.105738459063,4.0,22.973098453883065,37.256858825683594,73.17575972987382,28.0398080682424,3583.0
32,2165.0,5576.0,3999.387523465704,626.347455325774,4098.0,1.0,32814.0,149.64,1597.8151873140876,4.0,24.897382671480145,38.204349517822266,83.04115523465704,30.114079422382673,3411.0
33,2133.0,5249.0,4008.635218283036,621.5492299979894,4090.0,1.0,56011.0,153.3500062785149,1471.8819106897954,4.0,25.41186796283119,39.150306701660156,82.85546858649701,32.7529195094387,3116.0
34,2604.0,5689.0,4524.136760261285,550.2432790778781,4632.0,1.0,39506.0,210.3512235546456,2145.5274110512564,3.0,22.3697566296188,37.29140625000001,70.6834357024471,27.600662961879692,3085.0
35,2548.0,5066.0,3850.0650693568728,525.3696993819631,3924.0,1.0,131898.0,1053.8158890290038,9514.104977570763,3.0,28.16858711643548,39.431297302246094,89.80243799915931,45.994115174443046,2518.0
36,1435.0,5509.0,4146.139554677925,787.8863971225247,4376.0,1.0,284333.0,254.9971060874302,3540.4826244701726,3.0,21.720843830859323,35.5512680053711,71.15620318670844,22.5793272504426,4074.0
37,1438.0,4840.0,3239.5965273856577,753.8196271233512,3369.5,1.0,284361.0,1150.496753246753,16032.315176335062,3.0,26.714021033314513,39.18959045410157,87.52117447769622,36.998870694522864,3402.0
38,1381.0,4763.0,2926.8856253383865,678.4202890316321,2896.0,1.0,14292.0,112.15274769897133,899.3578500898113,4.0,25.517644744856526,36.50862693786621,88.80617217108825,29.243367623172713,3382.0
39,1365.0,5438.0,3179.0758399346973,851.959023850145,3161.0,1.0,275288.0,1308.3369942303768,17475.9289138016,4.0,25.491693412240505,37.77045822143555,86.16960094985437,31.29324898428659,4073.0
40,1172.0,4900.0,2740.763879320013,787.2045536768823,2691.0,1.0,1049253.0,4060.736625382533,60689.68227179451,4.0,27.45365749122779,39.720401763916016,90.01169628122346,39.986861711502414,3728.0
41,1173.0,6241.0,3761.523456683755,1012.6142101395608,3911.0,1.0,1049331.0,347.9943781501745,6323.9931096340215,4.0,26.283976112523156,38.96929168701172,85.75582647654332,36.42140180071512,5068.0
42,1765.0,4476.0,2889.994979079498,568.4661036223384,2850.0,1.0,107626.0,471.1801825789274,5414.176170550945,4.0,23.82679726131609,35.19895553588868,85.48117154811715,22.96690756941803,2711.0
43,1774.0,5035.0,3475.772477389608,727.2818145590795,3541.0,1.0,107629.0,146.8230892002128,1605.8122121545523,4.0,25.29606756517113,37.22248687744145,88.66465685405214,28.33481113672637,3261.0
44,2720.0,5349.0,4060.9980090203567,513.6432920913106,4177.0,1.0,38673.0,180.48222339604243,1629.316677656141,3.0,22.53027101702491,34.007144927978516,79.05814473203039,20.320182032424526,2629.0
45,2738.0,4545.0,3585.990221307257,376.9292866239985,3583.0,1.0,14915.0,95.1473880597015,824.6741473226557,3.0,17.016019042717446,26.464279174804688,57.97092125579002,4.7735460627895,1807.0
46,2637.0,4974.0,3653.218639815568,509.1066415302641,3647.0,1.0,138121.0,1015.2377949552482,11038.547132436706,3.0,23.041590385136967,34.564823150634766,80.98386221860592,22.29454841334418,2337.0
47,2582.0,5368.0,4197.944210406467,475.37006823311566,4325.0,1.0,16890.0,148.14750085392234,1242.695710858556,3.0,23.21226908516452,36.96513366699219,75.88523283616077,26.24388022315837,2786.0
